06.06.25 Dynamic List Display                                                  1


	/BIC/MD_RS	TXTLG
	      0681	SHOWCASE FOR CYCLES
	      0682	POPULAR BIKE LINES
	      0683	OILS AND FLUIDS WAREHOUSE
	      0684	LEASE-A-BIKE SHOP
	      0685	FAMILY CYCLE STORE
	      0686	FINISHED PARTS SHOP
	      0687	FUNCTIONAL STORE SOUTH
	      0688	BIKE PART WHOLESALERS
	      0689	CONSUMER EQUIPMENT
	      0690	ACTIVE CYCLING
	      0691	MOUNTAIN BIKE STORE
	      0692	SUCCESSFUL SALES COMPANY
	      0693	STOCK PARTS AND SUPPLIES
	      0694	THE ACCESSORIES STORE
	      0695	RESPONSIBLE BIKE DEALERS
	      0696	ROADWAY SUPPLIES
	      0697	BRAKES AND GEARS
	      0698	WESTERN BIKE SUPPLIES
	      0699	SENSATIONAL DISCOUNT STORE
	      0700	UNDERGLAZE AND FINISH COMPANY
	      0701	FUTURE BIKES
